,Event_Name,Tweet_Timestamp,Hour,Day,Count
0,50 Year Anniversary of Pride March,10/25/2022 22:00,22,10/25/2022,1
1,50 Year Anniversary of Pride March,10/25/2022 23:00,23,10/25/2022,0
2,50 Year Anniversary of Pride March,10/26/2022 0:00,0,10/26/2022,0
3,50 Year Anniversary of Pride March,10/26/2022 1:00,1,10/26/2022,0
4,50 Year Anniversary of Pride March,10/26/2022 2:00,2,10/26/2022,0
5,50 Year Anniversary of Pride March,10/26/2022 3:00,3,10/26/2022,0
6,50 Year Anniversary of Pride March,10/26/2022 4:00,4,10/26/2022,0
7,50 Year Anniversary of Pride March,10/26/2022 5:00,5,10/26/2022,0
8,50 Year Anniversary of Pride March,10/26/2022 6:00,6,10/26/2022,0
9,50 Year Anniversary of Pride March,10/26/2022 7:00,7,10/26/2022,0
10,50 Year Anniversary of Pride March,10/26/2022 8:00,8,10/26/2022,0
11,50 Year Anniversary of Pride March,10/26/2022 9:00,9,10/26/2022,0
12,50 Year Anniversary of Pride March,10/26/2022 10:00,10,10/26/2022,0
13,50 Year Anniversary of Pride March,10/26/2022 11:00,11,10/26/2022,0
14,50 Year Anniversary of Pride March,10/26/2022 12:00,12,10/26/2022,0
15,50 Year Anniversary of Pride March,10/26/2022 13:00,13,10/26/2022,0
16,50 Year Anniversary of Pride March,10/26/2022 14:00,14,10/26/2022,0
17,50 Year Anniversary of Pride March,10/26/2022 15:00,15,10/26/2022,0
18,50 Year Anniversary of Pride March,10/26/2022 16:00,16,10/26/2022,0
19,50 Year Anniversary of Pride March,10/26/2022 17:00,17,10/26/2022,0
20,50 Year Anniversary of Pride March,10/26/2022 18:00,18,10/26/2022,0
21,50 Year Anniversary of Pride March,10/26/2022 19:00,19,10/26/2022,0
22,50 Year Anniversary of Pride March,10/26/2022 20:00,20,10/26/2022,0
23,50 Year Anniversary of Pride March,10/26/2022 21:00,21,10/26/2022,0
24,50 Year Anniversary of Pride March,10/26/2022 22:00,22,10/26/2022,1
25,50 Year Anniversary of Pride March,10/26/2022 23:00,23,10/26/2022,0
26,50 Year Anniversary of Pride March,10/27/2022 0:00,0,10/27/2022,0
27,50 Year Anniversary of Pride March,10/27/2022 1:00,1,10/27/2022,0
28,50 Year Anniversary of Pride March,10/27/2022 2:00,2,10/27/2022,0
29,50 Year Anniversary of Pride March,10/27/2022 3:00,3,10/27/2022,0
30,50 Year Anniversary of Pride March,10/27/2022 4:00,4,10/27/2022,0
31,50 Year Anniversary of Pride March,10/27/2022 5:00,5,10/27/2022,0
32,50 Year Anniversary of Pride March,10/27/2022 6:00,6,10/27/2022,0
33,50 Year Anniversary of Pride March,10/27/2022 7:00,7,10/27/2022,0
34,50 Year Anniversary of Pride March,10/27/2022 8:00,8,10/27/2022,0
35,50 Year Anniversary of Pride March,10/27/2022 9:00,9,10/27/2022,0
36,50 Year Anniversary of Pride March,10/27/2022 10:00,10,10/27/2022,0
37,50 Year Anniversary of Pride March,10/27/2022 11:00,11,10/27/2022,0
38,50 Year Anniversary of Pride March,10/27/2022 12:00,12,10/27/2022,0
39,50 Year Anniversary of Pride March,10/27/2022 13:00,13,10/27/2022,0
40,50 Year Anniversary of Pride March,10/27/2022 14:00,14,10/27/2022,0
41,50 Year Anniversary of Pride March,10/27/2022 15:00,15,10/27/2022,0
42,50 Year Anniversary of Pride March,10/27/2022 16:00,16,10/27/2022,0
43,50 Year Anniversary of Pride March,10/27/2022 17:00,17,10/27/2022,0
44,50 Year Anniversary of Pride March,10/27/2022 18:00,18,10/27/2022,0
45,50 Year Anniversary of Pride March,10/27/2022 19:00,19,10/27/2022,0
46,50 Year Anniversary of Pride March,10/27/2022 20:00,20,10/27/2022,0
47,50 Year Anniversary of Pride March,10/27/2022 21:00,21,10/27/2022,0
48,50 Year Anniversary of Pride March,10/27/2022 22:00,22,10/27/2022,1
49,AZ election campaign,11/19/2022 13:00,13,11/19/2022,2
50,AZ election campaign,11/19/2022 14:00,14,11/19/2022,0
51,AZ election campaign,11/19/2022 15:00,15,11/19/2022,0
52,AZ election campaign,11/19/2022 16:00,16,11/19/2022,0
53,AZ election campaign,11/19/2022 17:00,17,11/19/2022,0
54,AZ election campaign,11/19/2022 18:00,18,11/19/2022,0
55,AZ election campaign,11/19/2022 19:00,19,11/19/2022,0
56,AZ election campaign,11/19/2022 20:00,20,11/19/2022,0
57,AZ election campaign,11/19/2022 21:00,21,11/19/2022,0
58,AZ election campaign,11/19/2022 22:00,22,11/19/2022,0
59,AZ election campaign,11/19/2022 23:00,23,11/19/2022,0
60,AZ election campaign,11/20/2022 0:00,0,11/20/2022,0
61,AZ election campaign,11/20/2022 1:00,1,11/20/2022,0
62,AZ election campaign,11/20/2022 2:00,2,11/20/2022,0
63,AZ election campaign,11/20/2022 3:00,3,11/20/2022,0
64,AZ election campaign,11/20/2022 4:00,4,11/20/2022,0
65,AZ election campaign,11/20/2022 5:00,5,11/20/2022,0
66,AZ election campaign,11/20/2022 6:00,6,11/20/2022,0
67,AZ election campaign,11/20/2022 7:00,7,11/20/2022,0
68,AZ election campaign,11/20/2022 8:00,8,11/20/2022,0
69,AZ election campaign,11/20/2022 9:00,9,11/20/2022,0
70,AZ election campaign,11/20/2022 10:00,10,11/20/2022,0
71,AZ election campaign,11/20/2022 11:00,11,11/20/2022,0
72,AZ election campaign,11/20/2022 12:00,12,11/20/2022,0
73,AZ election campaign,11/20/2022 13:00,13,11/20/2022,0
74,AZ election campaign,11/20/2022 14:00,14,11/20/2022,0
75,AZ election campaign,11/20/2022 15:00,15,11/20/2022,0
76,AZ election campaign,11/20/2022 16:00,16,11/20/2022,0
77,AZ election campaign,11/20/2022 17:00,17,11/20/2022,0
78,AZ election campaign,11/20/2022 18:00,18,11/20/2022,0
79,AZ election campaign,11/20/2022 19:00,19,11/20/2022,0
80,AZ election campaign,11/20/2022 20:00,20,11/20/2022,0
81,AZ election campaign,11/20/2022 21:00,21,11/20/2022,0
82,AZ election campaign,11/20/2022 22:00,22,11/20/2022,0
83,AZ election campaign,11/20/2022 23:00,23,11/20/2022,0
