Event_Name,Tweet_Timestamp,Hour,Day,Count
50 Year Anniversary of Pride March,10/25/2022 22:00,22,10/25/2022,1
50 Year Anniversary of Pride March,10/25/2022 23:00,23,10/25/2022,0
50 Year Anniversary of Pride March,10/26/2022 0:00,0,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 1:00,1,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 2:00,2,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 3:00,3,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 4:00,4,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 5:00,5,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 6:00,6,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 7:00,7,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 8:00,8,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 9:00,9,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 10:00,10,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 11:00,11,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 12:00,12,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 13:00,13,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 14:00,14,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 15:00,15,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 16:00,16,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 17:00,17,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 18:00,18,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 19:00,19,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 20:00,20,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 21:00,21,10/26/2022,0
50 Year Anniversary of Pride March,10/26/2022 22:00,22,10/26/2022,1
50 Year Anniversary of Pride March,10/26/2022 23:00,23,10/26/2022,0
50 Year Anniversary of Pride March,10/27/2022 0:00,0,10/27/2022,0
50 Year Anniversary of Pride March,10/27/2022 1:00,1,10/27/2022,0
50 Year Anniversary of Pride March,10/27/2022 2:00,2,10/27/2022,0
50 Year Anniversary of Pride March,10/27/2022 3:00,3,10/27/2022,0
50 Year Anniversary of Pride March,10/27/2022 4:00,4,10/27/2022,0
