Userid,Event Name,Latitude,Longitude,Tweet_Timestamp,Event_Timestamp,Hashtags,Category (for our reference),Emotion,Uncertainity,data,Location
worriedIguana1,ICAI,23.022,72.5714,10/22/2022 7:47,11/2/2022 21:19,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels1,Motivational Talks,23.022,72.5714,10/29/2022 7:05,11/13/2022 1:18,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana11,ICAI,23.022,72.5714,11/5/2022 6:23,11/23/2022 5:17,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels11,Motivational Talks,23.022,72.5714,11/12/2022 5:41,12/3/2022 9:16,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana1,ICAI,23.022,72.5714,11/19/2022 4:59,12/13/2022 13:15,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels12,Motivational Talks,23.022,72.5714,11/26/2022 4:17,12/23/2022 17:14,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana112,ICAI,23.022,72.5714,12/3/2022 3:35,1/2/2023 21:13,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels112,Motivational Talks,23.022,72.5714,12/10/2022 2:53,1/13/2023 1:12,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana12,ICAI,23.022,72.5714,12/17/2022 2:11,1/23/2023 5:11,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels13,Motivational Talks,23.022,72.5714,12/24/2022 1:29,11/2/2022 21:19,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana113,ICAI,23.022,72.5714,12/31/2022 0:47,11/13/2022 1:18,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels113,Motivational Talks,23.022,72.5714,1/7/2023 0:05,11/23/2022 5:17,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana15,ICAI,23.022,72.5714,1/13/2023 23:23,12/3/2022 9:16,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels15,Motivational Talks,23.022,72.5714,1/20/2023 22:41,12/13/2022 13:15,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana115,ICAI,23.022,72.5714,1/27/2023 21:59,12/23/2022 17:14,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels115,Motivational Talks,23.022,72.5714,2/3/2023 21:17,1/2/2023 21:13,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana15,ICAI,23.022,72.5714,2/10/2023 20:35,1/13/2023 1:12,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels125,Motivational Talks,23.022,72.5714,2/17/2023 19:53,1/23/2023 5:11,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana1125,ICAI,23.022,72.5714,2/24/2023 19:11,11/2/2022 21:19,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
chicBagels1125,Motivational Talks,23.022,72.5714,3/3/2023 18:29,11/13/2022 1:18,#joshtalks are #successfultips #motivationsaturday #motivationquotesoftheday #enterpreneurquotes #motivationpage #sandipmaheshwari #ceoquotes #thoughtleader #fuckbitchbecomerich #achievers,Seminars,happy,0.834333,3-4-6-8-2,Ahmedabad
worriedIguana125,ICAI,23.022,72.5714,3/10/2023 17:47,11/23/2022 5:17,#ICAI #Convocation #convocationindore #convocation2022,Meet,happy,0.860112,3-4-6-8-2,Ahmedabad
